Ref_gene,Tx,FC
RPL32,NT,1.098591054
RPL32,NT,0.858690714
RPL32,NT,1.060052014
RPL32,scramble,0.815291068
RPL32,scramble,0.245792693
RPL32,scramble,0.88272615
RPL32,488 507 526 120 nM (60 pmol),0.773348418
RPL32,488 507 526 120 nM (60 pmol),1.063198763
RPL32,488 507 526 120 nM (60 pmol),0.830013059
RPL32,siUPF1 20pmol,1.314995332
RPL32,siUPF1 20pmol,1.505612124
RPL32,siUPF1 20pmol,1.028635201
RPL32,5-5-5 pmol,0.945773817
RPL32,5-5-5 pmol,1.195428092
RPL32,5-5-5 pmol,1.261546718
RPL32,10-10-10 pmol,2.205195151
RPL32,10-10-10 pmol,1.901686553
RPL32,10-10-10 pmol,1.777292823
RPL32,20-20-20 pmol,3.566129686
RPL32,20-20-20 pmol,3.474274926
RPL32,20-20-20 pmol,0.143381549
RPL32,5-20-20 pmol,4.07673001
RPL32,5-20-20 pmol,2.752140499
RPL32,5-20-20 pmol,2.645042216
RPL32,10-20-20 pmol,3.254372124
RPL32,10-20-20 pmol,3.199949389
RPL32,10-20-20 pmol,3.995560299
RPL32,20-5-20 pmol,2.573963753
RPL32,20-5-20 pmol,1.845759266
RPL32,20-5-20 pmol,2.265998916
RPL32,20-10-20 pmol,2.988287594
RPL32,20-10-20 pmol,2.907931502
RPL32,20-10-20 pmol,2.490168163
RPL32,20-20-5 pmol,2.953347722
RPL32,20-20-5 pmol,2.681260968
RPL32,20-20-5 pmol,2.155384779
RPL32,20-20-10 pmol,2.791546904
RPL32,20-20-10 pmol,2.745971018
RPL32,20-20-10 pmol,2.989075869
RPL32,20-10-10 pmol,2.543757286
RPL32,20-10-10 pmol,2.880056866
RPL32,20-10-10 pmol,2.159906094
RPL32,10-20-10 pmol,2.518203021
RPL32,10-20-10 pmol,2.615641955
RPL32,10-20-10 pmol,2.063712943
RPL32,10-10-20 pmol,2.942326293
RPL32,10-10-20 pmol,3.903717135
RPL32,10-10-20 pmol,2.892391421
RPL32,20-10-5 pmol,2.229407095
RPL32,20-10-5 pmol,2.483558014
RPL32,20-10-5 pmol,2.442040101
RPL32,20-5-10 pmol,2.542604027
RPL32,20-5-10 pmol,1.512546128
RPL32,20-5-10 pmol,1.435649647
RPL32,10-20-5 pmol,2.30817832
RPL32,10-20-5 pmol,2.239339922
RPL32,10-20-5 pmol,2.468641965
RPL32,5-20-10 pmol,2.676789361
RPL32,5-20-10 pmol,3.594157259
RPL32,5-20-10 pmol,2.273870584
RPL32,10-5-20 pmol,1.496074978
RPL32,10-5-20 pmol,1.845576258
RPL32,10-5-20 pmol,1.949935752
RPL32,5-10-20 pmol,2.18173645
RPL32,5-10-20 pmol,2.084411227
RPL32,5-10-20 pmol,1.750990519
RPL32,esiRNA 400ng SMG6,0.738965829
RPL32,esiRNA 400ng SMG6,0.799147492
RPL32,esiRNA 400ng SMG6,0.840142447
RPL32,esiRNA 800ng SMG6,0.896367429
RPL32,esiRNA 800ng SMG6,0.864238942
RPL32,esiRNA 800ng SMG6,0.885565419
HPRT,NT,1.206689043
HPRT,NT,0.80355247
HPRT,NT,1.031312758
HPRT,scramble,0.724985364
HPRT,scramble,0.856669321
HPRT,scramble,0.790497629
HPRT,488 507 526 120 nM (60 pmol),0.69609615
HPRT,488 507 526 120 nM (60 pmol),0.996438522
HPRT,488 507 526 120 nM (60 pmol),0.734075591
HPRT,siUPF1 20pmol,0.865391247
HPRT,siUPF1 20pmol,0.99811628
HPRT,siUPF1 20pmol,0.901564522
HPRT,5-5-5 pmol,1.024621509
HPRT,5-5-5 pmol,1.347886512
HPRT,5-5-5 pmol,1.124220453
HPRT,10-10-10 pmol,1.915407447
HPRT,10-10-10 pmol,1.810188352
HPRT,10-10-10 pmol,1.495797765
HPRT,20-20-20 pmol,2.824340436
HPRT,20-20-20 pmol,3.01594085
HPRT,20-20-20 pmol,0.258798416
HPRT,5-20-20 pmol,2.525410598
HPRT,5-20-20 pmol,2.506543876
HPRT,5-20-20 pmol,2.047485469
HPRT,10-20-20 pmol,3.266721495
HPRT,10-20-20 pmol,3.026713779
HPRT,10-20-20 pmol,3.731824252
HPRT,20-5-20 pmol,1.929582328
HPRT,20-5-20 pmol,1.715720978
HPRT,20-5-20 pmol,2.361448942
HPRT,20-10-20 pmol,2.532333008
HPRT,20-10-20 pmol,2.614179024
HPRT,20-10-20 pmol,3.322802572
HPRT,20-20-5 pmol,2.837889859
HPRT,20-20-5 pmol,2.38891724
HPRT,20-20-5 pmol,1.735055292
HPRT,20-20-10 pmol,2.568177846
HPRT,20-20-10 pmol,2.829569115
HPRT,20-20-10 pmol,2.659497121
HPRT,20-10-10 pmol,2.592139359
HPRT,20-10-10 pmol,2.500734838
HPRT,20-10-10 pmol,2.204624772
HPRT,10-20-10 pmol,2.44963037
HPRT,10-20-10 pmol,2.359319133
HPRT,10-20-10 pmol,2.563266126
HPRT,10-10-20 pmol,2.595611518
HPRT,10-10-20 pmol,2.645758603
HPRT,10-10-20 pmol,2.666809994
HPRT,20-10-5 pmol,2.001548306
HPRT,20-10-5 pmol,2.450323526
HPRT,20-10-5 pmol,2.183145461
HPRT,20-5-10 pmol,2.254927549
HPRT,20-5-10 pmol,1.447187091
HPRT,20-5-10 pmol,1.336278022
HPRT,10-20-5 pmol,2.667682752
HPRT,10-20-5 pmol,2.174078338
HPRT,10-20-5 pmol,2.181208185
HPRT,5-20-10 pmol,2.526360659
HPRT,5-20-10 pmol,2.647152878
HPRT,5-20-10 pmol,2.525030006
HPRT,10-5-20 pmol,1.400894962
HPRT,10-5-20 pmol,1.942454299
HPRT,10-5-20 pmol,1.753424824
HPRT,5-10-20 pmol,2.146849668
HPRT,5-10-20 pmol,1.810272116
HPRT,5-10-20 pmol,1.586258742
HPRT,esiRNA 400ng SMG6,0.9093557
HPRT,esiRNA 400ng SMG6,0.830456868
HPRT,esiRNA 400ng SMG6,0.884621491
HPRT,esiRNA 800ng SMG6,0.754426436
HPRT,esiRNA 800ng SMG6,0.855208407
HPRT,esiRNA 800ng SMG6,0.893528769
